NOME,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q1modified,Q2modified,Q3modified,Q4modified,Q5modified,Q6modified,Q7modified,Q8modified,Q9modified,Total_Soma
Aluno 01,1,-1,0,1,1,-1,-1,1,-1,1.2,0.0,0.6,1.2,1.2,0.0,0.0,1.2,0.0,5.4
Aluno 02,1,-1,0,-1,1,-1,1,1,1,1.2,0.0,0.6,0.0,1.2,0.0,1.2,1.2,1.2,6.6000000000000005
Aluno 03,1,-1,0,1,1,1,-1,-1,-1,1.2,0.0,0.6,1.2,1.2,1.2,0.0,0.0,0.0,5.4
Aluno 04,1,1,1,1,1,-1,0,1,1,1.2,1.2,1.2,1.2,1.2,0.0,0.6,1.2,1.2,9.0
Aluno 05,-1,-1,-1,-1,1,1,-1,-1,-1,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,2.4
Aluno 06,1,-1,0,-1,1,0,0,0,0,1.2,0.0,0.6,0.0,1.2,0.6,0.6,0.6,0.6,5.3999999999999995
Aluno 07,1,-1,-1,-1,1,-1,0,0,1,1.2,0.0,0.0,0.0,1.2,0.0,0.6,0.6,1.2,4.8
Aluno 08,1,-1,0,1,1,-1,1,1,1,1.2,0.0,0.6,1.2,1.2,0.0,1.2,1.2,1.2,7.800000000000001
Aluno 09,1,-1,0,-1,1,-1,1,0,1,1.2,0.0,0.6,0.0,1.2,0.0,1.2,0.6,1.2,6.0
Aluno 10,1,-1,0,-1,1,1,0,1,1,1.2,0.0,0.6,0.0,1.2,1.2,0.6,1.2,1.2,7.2
Aluno 11,1,-1,0,-1,1,1,1,0,1,1.2,0.0,0.6,0.0,1.2,1.2,1.2,0.6,1.2,7.2
Aluno 12,0,-1,-1,-1,1,1,-1,-1,-1,0.6,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,3.0
Aluno 13,1,-1,-1,-1,1,-1,-1,-1,-1,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.4
Aluno 14,1,-1,-1,-1,-1,-1,0,-1,-1,1.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7999999999999998
Aluno 15,0,-1,0,1,1,0,1,0,1,0.6,0.0,0.6,1.2,1.2,0.6,1.2,0.6,1.2,7.199999999999999
