NOME,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q1modified,Q2modified,Q3modified,Q4modified,Q5modified,Q6modified,Q7modified,Q8modified,Q9modified,Total_Soma,Q1_,Q2_,Q3_,Q4_,Q5_,Q6_,Q7_,Q8_,Q9_
Aluno 01,1,-1,0,1,1,-1,-1,1,-1,1.2,0.0,0.6,1.2,1.2,0.0,0.0,1.2,0.0,5.4,S,N,P,S,S,N,N,S,N
Aluno 02,1,-1,0,-1,1,-1,1,1,1,1.2,0.0,0.6,0.0,1.2,0.0,1.2,1.2,1.2,6.6000000000000005,S,N,P,N,S,N,S,S,S
Aluno 03,1,-1,0,1,1,1,-1,-1,-1,1.2,0.0,0.6,1.2,1.2,1.2,0.0,0.0,0.0,5.4,S,N,P,S,S,S,N,N,N
Aluno 04,1,1,1,1,1,-1,0,1,1,1.2,1.2,1.2,1.2,1.2,0.0,0.6,1.2,1.2,9.0,S,S,S,S,S,N,P,S,S
Aluno 05,-1,-1,-1,-1,1,1,-1,-1,-1,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,2.4,N,N,N,N,S,S,N,N,N
Aluno 06,1,-1,0,-1,1,0,0,0,0,1.2,0.0,0.6,0.0,1.2,0.6,0.6,0.6,0.6,5.3999999999999995,S,N,P,N,S,P,P,P,P
Aluno 07,1,-1,-1,-1,1,-1,0,0,1,1.2,0.0,0.0,0.0,1.2,0.0,0.6,0.6,1.2,4.8,S,N,N,N,S,N,P,P,S
Aluno 08,1,-1,0,1,1,-1,1,1,1,1.2,0.0,0.6,1.2,1.2,0.0,1.2,1.2,1.2,7.800000000000001,S,N,P,S,S,N,S,S,S
Aluno 09,1,-1,0,-1,1,-1,1,0,1,1.2,0.0,0.6,0.0,1.2,0.0,1.2,0.6,1.2,6.0,S,N,P,N,S,N,S,P,S
Aluno 10,1,-1,0,-1,1,1,0,1,1,1.2,0.0,0.6,0.0,1.2,1.2,0.6,1.2,1.2,7.2,S,N,P,N,S,S,P,S,S
Aluno 11,1,-1,0,-1,1,1,1,0,1,1.2,0.0,0.6,0.0,1.2,1.2,1.2,0.6,1.2,7.2,S,N,P,N,S,S,S,P,S
Aluno 12,0,-1,-1,-1,1,1,-1,-1,-1,0.6,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,3.0,P,N,N,N,S,S,N,N,N
Aluno 13,1,-1,-1,-1,1,-1,-1,-1,-1,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.4,S,N,N,N,S,N,N,N,N
Aluno 14,1,-1,-1,-1,-1,-1,0,-1,-1,1.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.7999999999999998,S,N,N,N,N,N,P,N,N
Aluno 15,0,-1,0,1,1,0,1,0,1,0.6,0.0,0.6,1.2,1.2,0.6,1.2,0.6,1.2,7.199999999999999,P,N,P,S,S,P,S,P,S
